fare_id,route_id,origin_id,destination_id,contains_id
1,9948,,,
1,1002,,,
1,1003,,,
1,1055,,,
1,1005,,,
1,1071,,,
1,1006,,,
1,1072,,,
1,1108,,,
1,1109,,,
1,1110,,,
1,1900,,,
1,1901,,,
1,1010,,,
1,1012,,,
1,9955,,,
1,9956,,,
1,9957,,,
1,9958,,,
1,9959,,,
1,9960,,,
1,9961,,,
1,9962,,,
1,9963,,,
1,9964,,,
1,1029,,,
1,1028,,,
1,9966,,,
1,1030,,,
1,1045,,,
1,9968,,,
1,9969,,,
1,9970,,,
1,9971,,,
1,9972,,,
1,9973,,,
1,9974,,,
1,9975,,,
1,9976,,,
1,9977,,,
1,9978,,,
1,9979,,,
1,9980,,,
1,9981,,,
1,9982,,,
1,9983,,,
2,1059,,,
2,1060,,,
2,9985,,,
1,9986,,,
1,9987,,,
1,9988,,,
1,1082,,,
1,1080,,,
1,1081,,,
1,9990,,,
1,9991,,,
1,9992,,,
1,9993,,,
1,1093,,,
1,1094,,,
1,1101,,,
1,1105,,,
1,1104,,,
1,1103,,,
1,1102,,,
1,1106,,,
1,1197,,,
1,1196,,,
1,1198,,,
1,1199,,,
1,1033,,,
1,1034,,,
1,1031,,,
1,1032,,,
1,1038,,,
1,1039,,,
1,10005,,,
1,10007,,,
1,10008,,,
1,10325,,,
1,1114,,,
1,1115,,,
1,10093,,,